"cdr_ID","calldate","ip","port","is_caller"
76123672,"2018-05-01 13:51:48",1654599250,32588,0
76123584,"2018-05-01 13:51:51",417208698,5202,1
76123584,"2018-05-01 13:51:51",1654599251,30220,0
76123618,"2018-05-01 13:51:51",1654599251,23002,1
76123618,"2018-05-01 13:51:51",417208700,10296,0
76123861,"2018-05-01 13:51:52",3227975251,19564,1
76123861,"2018-05-01 13:51:52",3512424079,16472,0
76123494,"2018-05-01 13:51:54",3227975251,16926,0
76123495,"2018-05-01 13:51:54",3227975251,24248,0
76123862,"2018-05-01 13:51:54",3494121765,38910,1
76123862,"2018-05-01 13:51:54",3227975251,32496,0
76124076,"2018-05-01 13:51:55",1654599251,27554,1
76124076,"2018-05-01 13:51:55",417230089,6750,0
76124080,"2018-05-01 13:51:55",3507478246,15586,1
76124080,"2018-05-01 13:51:55",1654599251,16854,0
76123508,"2018-05-01 13:52:00",1654599251,30202,0
76123509,"2018-05-01 13:52:00",1654599251,19076,1
76123509,"2018-05-01 13:52:00",1611994918,2282,0
76123646,"2018-05-01 13:52:06",1654599250,17968,1
76123646,"2018-05-01 13:52:06",3232235895,5024,0
76123648,"2018-05-01 13:52:06",411685143,6400,1
76123648,"2018-05-01 13:52:06",1654599250,17980,0
76124857,"2018-05-01 13:52:06",1654599251,29302,1
76124857,"2018-05-01 13:52:06",2393257259,5146,0
76124860,"2018-05-01 13:52:06",411685143,6100,1
76124860,"2018-05-01 13:52:06",1654599251,18092,0
76123538,"2018-05-01 13:52:09",1654599251,26968,0
76123546,"2018-05-01 13:52:09",1654599251,32760,1
76123546,"2018-05-01 13:52:09",1611994918,2222,0
76123578,"2018-05-01 13:52:09",1611994918,2224,1
76123578,"2018-05-01 13:52:09",1654599251,18214,0
76123544,"2018-05-01 13:52:12",3227975507,19128,0
76123547,"2018-05-01 13:52:12",3227975507,22898,0
76123650,"2018-05-01 13:52:27",3227975506,20406,0
76123781,"2018-05-01 13:52:27",0,10000,1
76123781,"2018-05-01 13:52:27",3227975506,21558,0
76123579,"2018-05-01 13:52:29",3227975506,21808,0
76123645,"2018-05-01 13:52:29",1676539840,5016,1
76123645,"2018-05-01 13:52:29",3227975506,30148,0
76123669,"2018-05-01 13:52:32",3227975507,21854,0
76123668,"2018-05-01 13:52:35",1654599250,21402,1
76123668,"2018-05-01 13:52:35",411685143,7250,0
76123671,"2018-05-01 13:52:35",3507478246,17006,1
76123671,"2018-05-01 13:52:35",1654599250,18812,0
76126842,"2018-05-01 13:52:38",1654599251,21104,1
76126842,"2018-05-01 13:52:38",1168965251,18098,0
76126844,"2018-05-01 13:52:38",3341778438,53124,1
76126844,"2018-05-01 13:52:38",1654599251,26948,0
76123830,"2018-05-01 13:52:41",3091461651,11166,1
76123830,"2018-05-01 13:52:41",3227975506,32720,0
76123755,"2018-05-01 13:52:44",3227975506,20800,0
76123647,"2018-05-01 13:52:47",1654599250,20628,1
76123647,"2018-05-01 13:52:47",2886732487,16408,0
76123720,"2018-05-01 13:52:47",3227975507,32234,0
76123739,"2018-05-01 13:52:47",3227975507,31382,0
76123817,"2018-05-01 13:53:00",3227975506,32070,0
76123820,"2018-05-01 13:53:00",3227975506,19314,0
76123753,"2018-05-01 13:53:03",3227975506,29274,0
76123857,"2018-05-01 13:53:04",1654599251,24970,1
76123857,"2018-05-01 13:53:04",411685144,6950,0
76123911,"2018-05-01 13:53:04",1654599250,16878,1
76123911,"2018-05-01 13:53:04",417208698,5116,0
76123914,"2018-05-01 13:53:04",417208698,5020,1
76123914,"2018-05-01 13:53:04",1654599250,30052,0
76123737,"2018-05-01 13:53:05",3227975507,32568,0
76123858,"2018-05-01 13:53:05",3507478244,11708,1
76123858,"2018-05-01 13:53:05",1654599251,23404,0
76125197,"2018-05-01 13:53:05",1676539840,5018,1
76125197,"2018-05-01 13:53:05",3227975507,31174,0
76123727,"2018-05-01 13:53:08",3227975506,31970,0
76123741,"2018-05-01 13:53:08",3227975506,29888,0
76123910,"2018-05-01 13:53:08",1749006169,2254,1
76123910,"2018-05-01 13:53:08",3227975506,18706,0
76123860,"2018-05-01 13:53:09",3227975250,24896,1
76123860,"2018-05-01 13:53:09",3345303600,10000,0
76123818,"2018-05-01 13:53:10",3341778707,29602,1
76123818,"2018-05-01 13:53:10",1654599250,21898,0
76123819,"2018-05-01 13:53:10",1654599250,22252,1
76123819,"2018-05-01 13:53:10",2886732437,16390,0
76123859,"2018-05-01 13:53:10",3227975250,30330,0
76123754,"2018-05-01 13:53:11",3227975506,32680,0
76123945,"2018-05-01 13:53:12",3227975251,21566,1
76123945,"2018-05-01 13:53:12",3345303600,2234,0
76124033,"2018-05-01 13:53:12",1654599250,16754,1
76124033,"2018-05-01 13:53:12",417208698,5186,0
76124034,"2018-05-01 13:53:13",3631984748,8000,1
76124034,"2018-05-01 13:53:13",1654599250,23612,0
76123756,"2018-05-01 13:53:14",3227975251,22502,0
76123944,"2018-05-01 13:53:14",3341778438,54862,1
76123944,"2018-05-01 13:53:14",3227975251,26542,0
76123719,"2018-05-01 13:53:21",3589683629,25282,0
76123912,"2018-05-01 13:53:22",3589683629,25282,0
76123913,"2018-05-01 13:53:23",3232235859,25282,0
76125972,"2018-05-01 13:53:23",3341778707,30470,1
76125972,"2018-05-01 13:53:23",1654599251,32266,0
76125974,"2018-05-01 13:53:23",1654599251,19982,1
76125974,"2018-05-01 13:53:23",3626900266,16392,0
76123816,"2018-05-01 13:53:24",3232235859,25282,0
76124543,"2018-05-01 13:53:25",3507482336,13306,1
76124543,"2018-05-01 13:53:25",1654599251,30342,0
76124544,"2018-05-01 13:53:25",1654599251,31548,1
76124544,"2018-05-01 13:53:25",411685143,6430,0
76123976,"2018-05-01 13:53:37",3227975250,24846,1
76123976,"2018-05-01 13:53:37",3429196867,23320,0
76123975,"2018-05-01 13:53:38",3640368787,18776,1
76123975,"2018-05-01 13:53:38",3227975250,25112,0
76123885,"2018-05-01 13:53:44",1654599250,19578,1
76123885,"2018-05-01 13:53:44",417208698,5052,0
76123884,"2018-05-01 13:53:45",1654599250,23528,0
76126094,"2018-05-01 13:53:46",3227975251,21002,1
76126094,"2018-05-01 13:53:46",3345303600,10000,0
76123909,"2018-05-01 13:53:47",3227975507,22526,0
76124358,"2018-05-01 13:53:47",1676539840,5086,1
76124358,"2018-05-01 13:53:47",3227975507,29592,0
76126093,"2018-05-01 13:53:48",3495526469,35664,1
76126093,"2018-05-01 13:53:48",3227975251,24272,0
